Age,Gender,Sleep_Duration,Sleep_Quality,Physical_Activity,Stress_Level,Caffeine_Intake,Screen_Time
56,Male,7.6,Good,32,4,0,8
46,Female,8.1,Good,116,4,3,6
32,Male,8.7,Good,15,8,1,6
25,Male,7.0,Good,75,6,2,1
38,Male,4.5,Good,37,3,0,4
56,Male,7.2,Good,115,5,1,5
36,Male,7.5,Good,97,6,4,11
40,Male,8.5,Good,13,5,0,3
28,Male,6.6,Good,35,6,1,9
28,Female,4.8,Good,96,8,1,1
41,Male,5.7,Poor,22,7,2,6
53,Male,6.2,Good,113,5,2,6
57,Female,7.9,Good,108,6,4,10
41,Female,7.4,Poor,65,4,1,5
20,Female,6.1,Good,104,9,5,5
39,Male,9.9,Poor,84,4,1,10
19,Female,7.6,Fair,1,1,2,5
41,Male,5.4,Good,90,7,5,6
47,Male,4.6,Poor,72,7,0,8
55,Male,4.9,Good,64,4,0,2
19,Male,5.5,Good,74,3,3,6
38,Female,5.0,Good,66,8,2,1
50,Female,5.1,Poor,51,5,3,4
29,Male,5.7,Fair,61,7,5,10
39,Male,5.0,Good,22,4,2,3
42,Male,9.4,Good,25,4,4,9
44,Female,4.5,Good,67,8,1,3
59,Male,7.1,Fair,81,8,4,6
45,Male,6.5,Good,54,2,5,1
33,Female,9.9,Good,5,2,2,6
32,Female,4.7,Good,34,3,5,4
20,Male,6.4,Poor,21,3,1,8
54,Female,9.8,Good,42,1,0,11
24,Female,9.2,Good,14,3,0,9
38,Male,8.9,Good,85,6,5,4
26,Female,5.5,Fair,59,8,3,10
56,Male,5.0,Good,100,6,2,10
35,Female,8.0,Good,115,5,2,6
21,Male,9.6,Poor,105,4,0,1
42,Male,7.3,Good,11,3,4,4
31,Male,7.4,Good,110,4,1,7
26,Female,5.7,Poor,48,7,4,1
43,Male,8.6,Fair,41,1,4,8
19,Female,5.1,Good,37,7,5,10
37,Male,5.9,Poor,81,1,0,11
45,Male,6.6,Good,44,2,0,6
24,Female,7.0,Fair,34,4,0,5
25,Male,5.5,Good,29,1,5,10
52,Male,4.7,Poor,87,9,3,11
31,Female,7.7,Good,105,6,4,9
34,Male,5.7,Good,29,1,5,2
53,Male,7.5,Good,77,1,2,5
57,Male,4.9,Good,5,6,1,6
21,Male,6.9,Poor,66,4,3,7
19,Female,7.2,Good,79,4,2,5
23,Female,4.3,Poor,6,6,4,9
59,Male,6.0,Poor,51,7,0,1
21,Female,4.8,Fair,13,9,4,7
46,Male,4.4,Fair,72,5,5,10
35,Female,9.9,Good,14,9,1,7
43,Male,5.9,Good,20,4,5,4
51,Male,8.9,Fair,34,2,3,9
27,Male,5.5,Fair,65,3,3,11
53,Male,8.1,Good,90,1,1,5
31,Male,8.6,Fair,1,6,2,4
48,Male,7.6,Fair,34,6,2,7
32,Female,6.8,Poor,81,1,3,4
25,Male,6.5,Good,77,3,3,3
31,Female,6.1,Good,19,5,0,9
40,Male,9.6,Fair,81,3,2,11
57,Female,9.0,Poor,9,3,1,8
38,Female,9.8,Good,24,3,2,1
33,Female,4.7,Good,65,5,0,7
35,Male,8.4,Fair,24,5,5,9
41,Male,9.6,Good,53,4,3,8
43,Female,5.1,Poor,32,1,3,8
42,Male,4.4,Fair,35,5,0,6
58,Female,8.4,Good,94,5,1,11
46,Male,7.4,Fair,13,4,3,4
32,Female,9.1,Good,64,6,4,8
18,Female,4.8,Fair,109,4,3,3
42,Male,8.8,Fair,79,7,4,9
24,Female,5.2,Good,53,7,0,2
26,Male,5.0,Fair,109,2,0,2
41,Female,5.0,Good,51,3,3,7
18,Female,8.9,Fair,2,1,2,10
25,Male,8.0,Fair,98,8,4,4
41,Male,7.1,Poor,40,9,1,10
28,Male,6.2,Good,5,4,3,8
34,Female,9.3,Fair,24,6,1,9
25,Male,6.4,Good,12,9,3,7
52,Female,8.9,Fair,116,6,2,5
52,Female,6.6,Good,97,9,2,8
